delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
923994,191752,117075,45723,28447,10205,41497,1995,64,27
598630,23414,240,15944,21476,7743,2743,1009,64,27
206258,49439,2354,4789,18999,11103,6630,607,54,30
1077207,63039,12965,79010,6643,118337,3294,3496,54,54
524937,14178,13758,6077,15158,5085,6374,1548,54,54
220201,12978,9702,6758,5408,17806,3936,978,54,74
802983,30874,8043,38064,36412,21131,47438,3518,53,91
865230,1399,1043,10444,7406,21974,1716,512,53,91
264628,445,870,1094,3813,684,1339,389,53,91
1758112,49975,6101,34395,81601,21498,33347,4779,63,93
575647,95233,12032,54883,23417,81459,17415,6045,60,90
962992,40980,2227,19652,7484,8572,15282,607,60,90
1011545,5758,2357,10723,6986,6452,17518,1778,60,90
1161992,66773,2035,4202,11928,7972,13890,742,60,90
1974442,95232,30437,12344,102806,50576,49770,3963,60,90
1491595,92066,11247,169666,21165,33882,13757,3820,60,90
1148942,49747,8954,29032,25927,124795,3120,3137,50,96
1726668,66512,53308,36853,80200,22831,51436,3219,50,96
299669,4480,12027,4512,17903,11815,4181,530,50,96
860710,48975,13362,34904,73654,53755,49297,3778,43,100
1417881,250143,89503,140778,62479,228202,24077,12514,43,100
640665,56790,7471,32260,5886,13585,2793,1035,43,100
175844,25536,7650,22477,5525,8952,4441,1118,54,100
742697,34390,11492,36667,20341,15924,8144,2121,54,100
367328,73734,10550,15192,12449,10449,2382,555,54,100
779339,279313,7942,44386,55685,150089,7206,4014,41,97
1326182,168946,14298,134504,6516,18840,23323,9148,56,74
1730137,65832,12189,42744,33481,44444,42373,7303,61,69
2134918,70981,18382,29394,14165,17116,1732,1742,61,69
1415671,301317,168556,24664,69664,28557,10087,2420,61,69
2055242,2459438,424668,1145198,245082,116716,101240,29479,57,56
2985840,337218,231044,41610,35246,21755,14969,4352,77,35
2228634,2037044,337336,420606,206890,179022,61493,33602,77,35
2168396,73853,11950,22732,33054,24269,15697,3284,77,35
771125,50625,18636,21011,31785,27349,5829,1779,77,35
1037130,100140,13993,11525,25729,23395,895,1123,60,43
1274002,185164,12374,31028,62139,188431,80134,11973,60,43
257275,19029,20114,27741,12969,6668,6669,3675,60,43
194212,19588,6710,12831,3248,1857,2342,417,66,27
257568,5359,9179,11085,7883,8558,4403,943,66,27
927963,273166,6127,84873,3178,42329,36678,3410,60,38
425357,149286,5564,78076,6878,59046,16001,2381,54,54
914137,100539,14030,32578,13141,17998,3982,3059,54,54
1805945,68938,34904,303112,77466,95272,49560,9882,77,56
1644866,118081,28449,24513,118253,44068,23486,4301,77,56
146305,42532,8544,8730,2620,19582,10663,1039,77,56
1080116,273841,28893,43827,20880,45792,50580,3998,63,64
406675,41611,4739,14347,15328,38247,2134,614,63,64
513438,77002,16113,163745,7727,137320,6719,10001,74,77
115963,7193,3017,3043,4227,1485,3023,569,74,77
127688,30090,2707,39120,12393,58931,1087,3743,74,87
398090,282051,23571,149932,39253,268224,7116,7516,57,94
316699,37597,2406,42933,2967,42432,1045,4574,57,94
274528,98005,2524,34542,7343,37442,2421,2733,60,100
292629,121378,5047,49414,8673,52960,3594,2176,60,100
146165,28651,7413,52651,8548,43001,1777,1588,60,100
337313,59337,678,63249,19066,125888,2737,7414,51,100
358055,30290,24277,135484,15492,98391,15095,12831,61,100
479827,110318,116194,41481,22966,21236,5414,7378,74,84
143085,22867,8243,8352,4455,3881,10271,712,81,77
478278,79342,26747,36152,18717,7896,7192,3947,88,54
60167,26642,1615,14042,1480,2022,1692,825,80,35
438197,1345165,147643,136580,48076,67273,30654,33877,63,30
